word,series_frequency,english_frequency,filter_reason,vocabulary_level
maybe,12,51946944,Oxford 3000,A2
guy,11,82889911,Oxford 3000,A2
detective,11,5353706,Oxford 3000,B1
heard,10,45436523,"High English frequency (45,436,523 > 20,000,000)",A2
sir,10,20704773,Oxford 3000,B1
anything,10,75999346,Oxford 3000,A1
dinner,9,27843687,Oxford 3000,A1
hear,8,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
heh,8,2645768,Vocabulary level below C (A2),A2
hold,7,82741121,Oxford 3000,A2
believe,7,75918053,Oxford 3000,A2
nothing,7,73363579,Oxford 3000,A2
outside,6,67458757,Oxford 3000,A1
woman,6,71398090,Oxford 3000,A1
missing,6,35813046,Oxford 3000,A2
sorry,6,35595812,Oxford 3000,A1
pick,5,55170145,Oxford 3000,B1
knew,5,31636418,"High English frequency (31,636,418 > 20,000,000)",A2
anybody,5,10367449,Oxford 3000,A2
okay,5,15466771,Easy word (easy_words.csv),N/A
door,5,76868330,Oxford 3000,A1
drink,5,40392266,Oxford 3000,A1
somebody,5,11159741,Easy word (easy_words.csv),A2
stop,5,86868060,Oxford 3000,A1
mind,5,84923564,Oxford 3000,B1
saying,5,38415068,Easy word (easy_words.csv),C2
police,5,64560602,Oxford 3000,A2
couple,5,58208821,Oxford 3000,B1
went,5,68130142,"High English frequency (68,130,142 > 20,000,000)",A2
