word,series_frequency,english_frequency,vocabulary_level
welch,1,3150282,N/A
congresswoman,1,325193,N/A
keepsake,1,1865320,N/A
locked,1,10837051,N/A
evolutionary,1,4704879,N/A
tunderin,1,0,N/A
halt,1,3378142,N/A
internment,1,397714,N/A
hoser,1,50554,N/A
shining,1,3592416,N/A
crying,1,4891725,N/A
amnesia,1,651098,N/A
implant,1,5534969,N/A
bringing,1,15970507,N/A
irreversible,1,943282,C2
hike,1,5311877,N/A
straighten,1,778455,N/A
toughie,1,23402,N/A
wrecked,1,717161,N/A
explosive,1,3781976,C2
mopped,1,64725,N/A
fought,1,5535215,N/A
wearing,1,12401524,N/A
armor,1,6094107,N/A
cafeteria,1,1927924,N/A
impenetrable,1,319936,N/A
escalate,1,719456,N/A
sweetheart,1,2157453,N/A
cracked,1,2888206,N/A
sentiment,1,3846142,C2
bailing,1,172868,N/A
delivering,1,8042490,N/A
infinite,1,6795427,C2
transported,1,2986479,N/A
assurance,1,13354334,C1
offense,1,8248745,N/A
unmarked,1,789316,N/A
landed,1,3730816,N/A
crow,1,5886842,N/A
rigged,1,674484,N/A
lying,1,8260845,N/A
untrustworthy,1,136721,N/A
impersonating,1,148631,N/A
punishable,1,888057,N/A
blowing,1,5695084,N/A
missed,1,18451052,N/A
reminder,1,10084715,C1
rationing,1,443964,N/A
outlawed,1,493039,N/A
flushing,1,1731756,N/A
congratulation,1,6940167,N/A
engagement,1,13293071,N/A
spying,1,2216698,N/A
divert,1,1155213,C2
bigger,1,13236401,N/A
understood,1,11962620,N/A
sniper,1,2420587,N/A
trigger,1,10998982,C1
situated,1,10177869,N/A
mashed,1,1031175,N/A
potatoe,1,5283312,N/A
lived,1,18050710,N/A
expansionist,1,81051,N/A
tendency,1,5996629,C1
bless,1,5640008,N/A
murdering,1,624555,N/A
enslaving,1,70210,N/A
crucifying,1,24687,N/A
vaguely,1,1016488,C2
problematic,1,2633119,C1
fudging,1,50459,N/A
lawfully,1,843098,N/A
wedded,1,305508,N/A
garbage,1,6609450,N/A
accusation,1,2374219,C1
chum,1,801140,N/A
dove,1,3253560,N/A
tappin,1,46371,N/A
clappin,1,0,N/A
tang,1,2714458,N/A
