word,series_frequency,english_frequency,vocabulary_level
pursuit,1,6781533,C2
tossing,1,843538,N/A
jealousy,1,1292609,C1
approbation,1,245899,N/A
hated,1,3173792,N/A
bolt,1,8884854,N/A
groin,1,816283,N/A
vacuum,1,15556079,N/A
hustling,1,117500,N/A
jostling,1,89342,N/A
unsettled,1,471519,N/A
dismay,1,666985,C2
enjoying,1,6647058,N/A
judging,1,3271774,N/A
empower,1,2724581,N/A
topple,1,1622726,N/A
rival,1,6981563,C1
engineered,1,4222770,N/A
downfall,1,940580,N/A
royalty,1,10857121,N/A
contender,1,1747049,N/A
excess,1,17680707,C1
finery,1,161631,N/A
inverted,1,1742040,N/A
commas,1,1521986,N/A
atonement,1,659226,N/A
compassion,1,3517842,N/A
atone,1,168496,N/A
regal,1,2251497,N/A
stripped,1,2634414,N/A
swept,1,2612095,N/A
beast,1,16763421,N/A
invited,1,14757576,N/A
twist,1,8491807,C1
fugitive,1,1229796,N/A
unthinkable,1,543523,C1
handed,1,8150012,N/A
appoint,1,5143136,C1
adviser,1,8145457,C1
rebellion,1,2636278,C1
birthright,1,378668,N/A
wielded,1,227562,N/A
painted,1,10666710,N/A
waited,1,3938627,N/A
wicked,1,6486222,C2
escaping,1,1344327,N/A
assassin,1,2200008,N/A
apprentice,1,3962782,N/A
slaughter,1,2982546,C2
marching,1,2400087,N/A
futile,1,956638,N/A
promis,1,6722690,N/A
unspeakable,1,394872,N/A
chilling,1,1431748,N/A
believed,1,13851733,N/A
blocked,1,6214606,N/A
prof,1,8460541,N/A
undoing,1,348466,N/A
realizing,1,2390433,N/A
flee,1,1969259,C1
mutiny,1,643708,N/A
awaiting,1,3541630,N/A
tactical,1,4826876,N/A
orchestrated,1,545088,N/A
manipulator,1,588384,N/A
dodgy,1,571643,N/A
bringing,1,15970507,N/A
solidify,1,418041,N/A
miscalculation,1,162823,N/A
psychotic,1,982338,N/A
aka,1,11570453,N/A
stepped,1,4130208,N/A
distracted,1,1226846,N/A
jumped,1,3761906,N/A
leap,1,5837736,C2
facing,1,13466055,N/A
toughest,1,1179707,N/A
sacrilege,1,127474,N/A
hunch,1,396660,N/A
mythology,1,4044154,N/A
recruit,1,6199283,C1
kingship,1,162367,N/A
cruelest,1,65935,N/A
gut,1,4597183,N/A
churning,1,433030,N/A
finale,1,2382273,N/A
betrayal,1,1277145,N/A
slain,1,1281084,N/A
pinned,1,1276850,N/A
resurrection,1,3330134,N/A
harbor,1,14934790,N/A
surpris,1,2485526,N/A
resurrect,1,345984,N/A
rejoice,1,1428482,N/A
rebirth,1,1200572,N/A
reunion,1,10236645,C2
retake,1,403852,N/A
censor,1,1270129,N/A
majestic,1,3206714,N/A
savvy,1,3140230,N/A
naivety,1,62159,N/A
horde,1,3574419,N/A
explosive,1,3781976,C2
forging,1,1306616,N/A
uncover,1,2013369,C1
invented,1,3607460,N/A
casualty,1,5822925,C2
eve,1,13559866,N/A
newborn,1,4715879,N/A
unheeded,1,97930,N/A
bait,1,3718334,N/A
calculating,1,3991558,N/A
machiavellian,1,105587,N/A
pitting,1,311903,N/A
driven,1,17723706,N/A
conniving,1,102139,N/A
cunning,1,979573,C2
cavalry,1,1974089,N/A
dumb,1,5409969,C1
scalp,1,1428097,N/A
nemesis,1,1332098,N/A
blinded,1,983949,N/A
stabbed,1,787357,N/A
faceless,1,350131,N/A
chopped,1,3804704,N/A
carve,1,952422,C2
smiling,1,3931929,N/A
revolt,1,1848016,C2
scepter,1,225570,N/A
wronged,1,262517,N/A
sparrow,1,2321707,N/A
spectacle,1,2024755,N/A
unleashed,1,2005394,N/A
wildfire,1,1466671,N/A
wiped,1,1491628,N/A
knowing,1,14410719,N/A
