word,series_frequency,english_frequency,vocabulary_level
called,1,106978150,N/A
favorite,1,92246870,N/A
used,1,421438139,N/A
toward,1,66823223,N/A
looking,1,150610176,N/A
joined,1,57202778,N/A
status,1,129192453,C1
operating,1,64046921,N/A
considered,1,57378298,N/A
wed,1,67188466,N/A
using,1,269448880,N/A
porn,1,119595989,N/A
grand,1,57003112,C1
involved,1,59408103,N/A
needed,1,76528079,N/A
focus,1,74721938,C2
bid,1,99360541,C1
created,1,82342853,N/A
