word,series_frequency,english_frequency,vocabulary_level
settling,1,2277106,N/A
dispute,1,16505532,C2
asking,1,19887691,N/A
wealthiest,1,373295,N/A
stomping,1,405794,N/A
begging,1,1559218,N/A
shootin,1,158389,N/A
kneecap,1,105664,N/A
murdering,1,624555,N/A
afford,1,11202234,N/A
til,1,5700373,N/A
core,1,53228216,C2
defer,1,1330126,N/A
launcher,1,2205968,N/A
smelly,1,796103,N/A
ran,1,16417708,N/A
den,1,13961722,N/A
fudge,1,1995285,N/A
sprinkled,1,569059,N/A
surrounded,1,6101488,N/A
waltz,1,1910526,N/A
altered,1,6316108,N/A
somethin,1,720202,N/A
addictol,1,0,N/A
vein,1,5366586,C1
whiskey,1,2179769,N/A
quarry,1,2361964,N/A
junction,1,10703181,N/A
fightin,1,253951,N/A
strip,1,24503131,C1
whup,1,61093,N/A
merry,1,6367037,N/A
twiddle,1,86547,N/A
negotiating,1,4058744,N/A
communist,1,6502503,N/A
adversary,1,1712421,N/A
pacific,1,54275558,N/A
summit,1,16330729,C1
founder,1,14076165,C2
robotic,1,5727052,N/A
titan,1,16383322,N/A
sector,1,61695429,C1
succeeding,1,1602365,N/A
failed,1,30596963,N/A
assassination,1,2437587,N/A
chose,1,9409845,N/A
killed,1,23240536,N/A
wearing,1,12401524,N/A
giving,1,43506778,N/A
countless,1,3187500,C1
saying,1,38415068,C2
rag,1,3380983,N/A
greed,1,1997460,C1
sold,1,42979181,N/A
clothe,1,27345816,N/A
torn,1,3569094,N/A
tattered,1,421959,N/A
campaign,1,45809124,C1
allowed,1,44526131,N/A
unilaterally,1,555763,N/A
dictate,1,2462031,C1
humiliation,1,3772265,N/A
rep,1,17139402,N/A
nukatini,1,0,N/A
knucklehead,1,142537,N/A
pardner,1,37804,N/A
dame,1,6319884,N/A
treated,1,22718161,N/A
escort,1,16975528,N/A
dice,1,6136261,C2
missed,1,18451052,N/A
behaved,1,1125698,N/A
begrudge,1,78609,N/A
filling,1,9741237,N/A
void,1,32961469,N/A
integrated,1,37600088,N/A
technotronic,1,32201,N/A
reporting,1,37995481,N/A
looky,1,61599,N/A
loo,1,838586,N/A
shrub,1,3508458,N/A
civilized,1,1141850,N/A
pervert,1,929436,N/A
intact,1,3928069,C2
cherished,1,1452003,N/A
utterly,1,2679629,C1
removed,1,29610178,N/A
gracious,1,1580782,N/A
nooo,1,110692,N/A
garbage,1,6609450,N/A
janitor,1,872385,N/A
yeesh,1,50965,N/A
elevator,1,5679738,N/A
met,1,45111009,N/A
filly,1,670459,N/A
burnt,1,3221640,N/A
enclave,1,603583,N/A
shithole,1,45170,N/A
shady,1,2059463,N/A
blew,1,2473343,N/A
sake,1,6673422,N/A
samaritan,1,1232237,N/A
trash,1,7153973,C2
tried,1,34201786,N/A
leaving,1,23878642,N/A
maim,1,156066,N/A
gosh,1,1103443,N/A
crazed,1,564416,N/A
destiny,1,6063968,C1
mathematically,1,679333,N/A
intertwined,1,581569,N/A
insane,1,4121922,C1
license,1,85326896,N/A
gave,1,36576222,N/A
armor,1,6094107,N/A
wore,1,3490088,N/A
connected,1,28448231,N/A
apex,1,3531292,N/A
lucrative,1,1353990,C2
span,1,10722811,N/A
functionality,1,13791360,N/A
acquiring,1,3272383,N/A
indefinitely,1,1501553,C2
roboticized,1,0,N/A
initiated,1,7577787,N/A
heard,1,45436523,N/A
collision,1,6211663,N/A
bureaucrat,1,972798,N/A
knew,1,31636418,N/A
routinely,1,2814368,N/A
paradigm,1,5077785,C2
socioeconomic,1,1491651,N/A
vexingly,1,0,N/A
bought,1,31501377,N/A
jumped,1,3761906,N/A
teller,1,2406402,N/A
mathematician,1,1511822,N/A
roboticist,1,0,N/A
casino,1,74796251,N/A
variable,1,58736585,C1
knowing,1,14410719,N/A
wanted,1,63301836,N/A
selling,1,44375770,N/A
dropped,1,12265666,N/A
entity,1,28891357,C2
maxim,1,4110119,N/A
gaze,1,2119763,C2
inward,1,1852669,N/A
spending,1,19521910,C2
apocalyptic,1,638084,N/A
glorious,1,3743383,N/A
comm,1,8424515,N/A
hoping,1,8825881,N/A
operational,1,17293992,N/A
stat,1,41724731,N/A
survived,1,4427602,N/A
gone,1,34511028,N/A
started,1,77515342,N/A
talked,1,9582713,N/A
sounded,1,3072513,N/A
nutty,1,686428,N/A
exec,1,6852401,N/A
successor,1,4672298,C1
askin,1,218934,N/A
multi,1,55131463,N/A
millennial,1,319204,N/A
took,1,66297175,N/A
telling,1,14181895,N/A
defense,1,37819618,N/A
forced,1,30835043,N/A
evolutionary,1,4704879,N/A
lied,1,2215843,N/A
officially,1,7533785,C1
sent,1,68953120,N/A
followed,1,31437587,N/A
reaching,1,9832263,N/A
explicit,1,9568886,C2
watching,1,21543474,N/A
resting,1,2769187,N/A
stasis,1,252846,N/A
shame,1,6882495,C1
terminate,1,5890297,N/A
slumber,1,819190,N/A
prematurely,1,696334,N/A
assuredly,1,383525,N/A
willing,1,18418634,C2
cryo,1,319669,N/A
chamber,1,27712943,N/A
motion,1,47336175,C2
able,1,109641322,C2
brought,1,39794764,N/A
agreeable,1,824533,N/A
nap,1,2969882,C1
helped,1,21000656,N/A
sugarbomb,1,0,N/A
sweetest,1,936582,N/A
crush,1,3904494,C2
petal,1,2432569,N/A
kindest,1,187118,N/A
hasty,1,700024,N/A
broke,1,10460811,N/A
