word
doin
goin
gettin
holdin
comin
runnin
talkin
walkin
lookin
workin
livin
givin
sayin
makin
takin
tryin
thinkin
feelin
havin
knowin
seein
bein
leadin
readin
writin
headin
needin
outta
wanna
gonna
gotta
kinda
sorta
lotta
hafta
oughta
lemme
gimme
dunno
betcha
gotcha
watcha
whaddya
whatcha
coulda
woulda
shoulda
musta
usta
tryna
finna
geez
jeez
cos
coz
cos
nah
yep
yah
yup
ain
tis
twas
taint
aint
em
im
ya
ta
