word
fuck
fucking
fucked
fucker
fuckers
fuckin
shit
shits
shitting
shitted
damn
damned
damnit
dammit
ass
asses
asshole
assholes
bitch
bitches
bastard
bastards
crap
craps
crap
hell
hells
piss
pisses
pissing
pissed
dick
dicks
cock
cocks
pussy
pussies
cunt
cunts
whore
whores
slut
sluts
motherfucker
motherfuckers
motherfucking
cocksucker
cocksuckers
goddamn
goddamned
goddamnit
bollocks
bullshit
horseshit
dipshit
shithead
douchebag
douchebags
douche
douches
twat
twats
wanker
wankers
tosser
tossers
arse
arses
arsehole
arseholes
bugger
buggers
bloody
sod
sods
sodding
prick
pricks
dickhead
dickheads
jackass
jackasses
dumbass
dumbasses
smartass
smartasses
badass
badasses
hardass
hardasses
dipshit
dipshits
shitty
crappy
fuckwit
fuckwits
bellend
bellends
knob
knobs
knobhead
knobheads
pillock
pillocks
plonker
plonkers
git
gits
tosspot
tosspots
wazzock
wazzocks
berk
berks
muppet
muppets
nob
nobs
nobhead
nobheads
numpty
numpties
prat
prats
twit
twits
git
gits
